,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1829-Hugo-Le dernier condamne-fragment_3.prd,0.007575757575757577,0.015151515151515154,0.0,0.002525252525252525,0.4116161616161616,0.007575757575757577,0.0,0.0,0.0707070707070707,0.010101010101010102,0.030303030303030307,5.603535353535353,7.123737373737375,0.0,0.06594319792735982,0.16801094979713546,0.05680207264017208,0.13584592071173682,0.060321650290853984
1830-Balzac-Sarrasine-fragment_1.prd,0.009708737864077669,0.0032362459546925572,0.0,0.0,0.284789644012945,0.0,0.0,0.0,0.032362459546925564,0.0032362459546925572,0.0064724919093851144,6.967637540453074,8.983818770226536,0.0,0.06331420242324863,0.1938143390726064,0.08003097385442287,0.12749385077890135,0.06226655734718047
1830-Balzac-Sarrasine-fragment_2.prd,0.006437768240343348,0.004291845493562232,0.0,0.002145922746781116,0.2167381974248927,0.004291845493562232,0.002145922746781116,0.0,0.02360515021459228,0.006437768240343348,0.006437768240343348,5.156652360515022,6.701716738197424,0.0,0.062216147096432826,0.17633052603730326,0.06111380572335641,0.1468318708937784,0.07134353366550554
1830-Balzac-Sarrasine-fragment_3.prd,0.01056338028169014,0.007042253521126761,0.0,0.0,0.4542253521126761,0.007042253521126761,0.0,0.0,0.04929577464788732,0.0035211267605633804,0.014084507042253518,7.707746478873238,9.901408450704226,0.0,0.054783594307543766,0.1814365475840645,0.07182737920322405,0.13975064019142774,0.06074472104445657
1830-Balzac-Sarrasine-fragment_4.prd,0.002881844380403458,0.005763688760806916,0.0,0.0,0.3515850144092219,0.002881844380403458,0.0,0.0,0.04034582132564842,0.002881844380403458,0.025936599423631124,6.6801152737752165,8.717579250720462,0.0,0.05698017894601653,0.18254206087589367,0.08108223810950811,0.13185495954450105,0.05462562609700758
1831-Balzac-La peau de chagrin-fragment_1.prd,0.008032128514056224,0.008032128514056224,0.0,0.0,0.3734939759036144,0.0,0.0,0.0,0.04016064257028112,0.008032128514056224,0.01606425702811245,8.180722891566267,10.570281124497992,0.0,0.06300918703414803,0.22113884555382216,0.08766684000693363,0.1294418443404403,0.045588490206274916
1831-Balzac-La peau de chagrin-fragment_2.prd,0.013377926421404682,0.0,0.0,0.0033444816053511705,0.3712374581939799,0.010033444816053512,0.0,0.0,0.04013377926421405,0.016722408026755852,0.020066889632107024,7.331103678929765,9.364548494983277,0.0,0.06202037992200276,0.18706755566737954,0.07850044030695685,0.1381725164590934,0.06101396402063153
1831-Balzac-La peau de chagrin-fragment_3.prd,0.012461059190031152,0.003115264797507788,0.0,0.0,0.3146417445482866,0.01557632398753894,0.003115264797507788,0.0,0.03426791277258567,0.02180685358255452,0.018691588785046728,6.461059190031151,8.258566978193146,0.0,0.06638717632552404,0.19778051787916154,0.08044389642416769,0.1268557336621455,0.06392108508014796
1831-Balzac-La peau de chagrin-fragment_4.prd,0.013513513513513514,0.0045045045045045045,0.0,0.0,0.22522522522522526,0.0045045045045045045,0.0,0.0,0.036036036036036036,0.013513513513513514,0.013513513513513514,6.252252252252253,8.31981981981982,0.0,0.06573848141237261,0.19793311324816995,0.06717381943447683,0.13463470647337447,0.06437491029137361
1831-Hugo-Notre-Dame de Paris II-fragment_1.prd,0.009615384615384616,0.009615384615384616,0.0,0.0,0.4455128205128205,0.016025641025641024,0.0,0.0,0.04807692307692308,0.003205128205128205,0.02243589743589744,6.94871794871795,9.0224358974359,0.0,0.05948287411244585,0.17818068146295718,0.07640780601080695,0.12436922252489616,0.0625641941678203
1831-Hugo-Notre-Dame de Paris II-fragment_2.prd,0.020642201834862383,0.006880733944954129,0.0022935779816513767,0.0,0.3440366972477064,0.02522935779816514,0.004587155963302753,0.0022935779816513767,0.0481651376146789,0.009174311926605505,0.045871559633027525,4.988532110091743,6.598623853211008,0.0,0.06308432422619588,0.18180993010801488,0.06503585368067533,0.12217482073159662,0.05296360170645367
1831-Hugo-Notre-Dame de Paris II-fragment_3.prd,0.0021551724137931034,0.00646551724137931,0.0,0.0,0.3081896551724138,0.0021551724137931034,0.0,0.0,0.03017241379310345,0.0021551724137931034,0.023706896551724137,4.844827586206896,6.545258620689656,0.0,0.06668551769640417,0.1822894575616193,0.06484754229699798,0.13388943871058956,0.05589330317168576
1831-Hugo-Notre-Dame de Paris II-fragment_4.prd,0.015452538631346581,0.006622516556291391,0.0,0.002207505518763797,0.3333333333333333,0.006622516556291391,0.002207505518763797,0.0,0.05739514348785873,0.0,0.04856512141280353,4.81456953642384,6.267108167770419,0.0,0.06563758996876556,0.18840251686207046,0.057082069621112674,0.1260694400434566,0.062468878728894124
1833-Balzac-Eugenie Grandet-fragment_1.prd,0.007194244604316547,0.014388489208633094,0.0,0.0,0.4424460431654677,0.0,0.0,0.0,0.04676258992805756,0.0,0.007194244604316547,8.23021582733813,10.471223021582734,0.0,0.04911940539667151,0.21235256099531427,0.07735498465018581,0.12089998384230086,0.05691549523347875
1833-Balzac-Eugenie Grandet-fragment_2.prd,0.009868421052631578,0.003289473684210526,0.0,0.003289473684210526,0.4407894736842105,0.0,0.003289473684210526,0.0,0.03947368421052632,0.01644736842105263,0.013157894736842105,7.197368421052633,9.338815789473683,0.0,0.054054054054054064,0.17817504024400574,0.05820554096416165,0.14555621452173176,0.06400915021604676
1833-Balzac-Eugenie Grandet-fragment_3.prd,0.0,0.00821917808219178,0.0,0.0,0.336986301369863,0.03561643835616438,0.0,0.0027397260273972607,0.021917808219178082,0.01643835616438356,0.019178082191780826,6.095890410958903,7.827397260273971,0.0,0.05884425651867513,0.18538583509513745,0.05695031712473572,0.14891649048625796,0.058271670190274835
1833-Balzac-Eugenie Grandet-fragment_4.prd,0.0052770448548812654,0.021108179419525062,0.0,0.0,0.3113456464379947,0.16358839050131924,0.0079155672823219,0.0,0.02902374670184697,0.010554089709762531,0.021108179419525062,6.087071240105541,7.870712401055409,0.0,0.05931865503034599,0.17565232800248085,0.05076861737473973,0.14424312231426925,0.06769148983298631
1834-Hugo-Claude Gueux-fragment_1.prd,0.009146341463414634,0.006097560975609756,0.0,0.006097560975609756,0.6829268292682927,0.006097560975609756,0.0,0.0,0.057926829268292686,0.009146341463414634,0.009146341463414634,6.460365853658537,8.179878048780488,0.0,0.05761906895470228,0.17263318249025494,0.05927684932120615,0.13589318517854745,0.06787938527711815
1835-Balzac-Pere Goriot-fragment_1.prd,0.0,0.0,0.0,0.0,0.23389830508474574,0.0,0.0,0.0,0.020338983050847456,0.013559322033898305,0.0,7.772881355932204,9.8,0.0,0.05429236233008124,0.21190349838755765,0.07470302486018696,0.13119973874351962,0.05604767930767033
1835-Balzac-Pere Goriot-fragment_2.prd,0.005263157894736842,0.002631578947368421,0.0,0.0,0.2789473684210526,0.013157894736842105,0.0,0.0,0.018421052631578942,0.007894736842105262,0.015789473684210527,6.476315789473684,8.042105263157895,0.0,0.053439084644389546,0.18671174099596927,0.058943353703462924,0.14237420361461448,0.060026871234776576
1835-Balzac-Pere Goriot-fragment_3.prd,0.006042296072507553,0.0030211480362537764,0.0,0.0030211480362537764,0.3957703927492447,0.006042296072507553,0.0,0.0,0.00906344410876133,0.006042296072507553,0.00906344410876133,6.649546827794563,8.592145015105741,0.0,0.05360209708035795,0.1787941787941788,0.05441561963301094,0.1536201753593058,0.0603362559884299
1835-Balzac-Pere Goriot-fragment_4.prd,0.0079155672823219,0.0026385224274406327,0.0,0.0,0.2453825857519789,0.0,0.0,0.0,0.0026385224274406327,0.0052770448548812654,0.0079155672823219,5.957783641160951,7.6596306068601585,0.0,0.06225438512412537,0.17717818460653695,0.061439662609029035,0.14727307581711874,0.061295888047541464
