,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1870-Becquer-La Arquitectura Árabe en Toledo-fragment_1.prd,0.0,0.0,0.0,0.0,3.4137931034482767,0.0,0.0,0.0,0.8965517241379308,0.0,0.0,6.758620689655173,14.758620689655173,0.0,0.050072568940493466,0.2512094823415578,0.10788582486695694,0.07607643928398647,0.042573778422835024
1870-Becquer-Las Hojas Secas-fragment_1.prd,0.15384615384615385,0.0,0.0,0.0,0.8846153846153846,0.0,0.0,0.0,0.5769230769230769,0.0,0.07692307692307693,5.9230769230769225,17.23076923076923,0.0,0.07622841965471447,0.20929614873837984,0.09747675962815404,0.1258964143426295,0.028685258964143426
1870-Perez Galdoz-La Fontana de Oro-fragment_1.prd,0.0,0.0,0.0,0.0,0.6060606060606061,0.011363636363636364,0.0037878787878787884,0.0,0.2159090909090909,0.007575757575757577,0.011363636363636364,4.041666666666667,11.234848484848484,0.0,0.05465758394131162,0.21149582812688944,0.09008827441654238,0.10947639969365956,0.050344632996090134
1870-Perez Galdoz-La Fontana de Oro-fragment_2.prd,0.026402640264026403,0.0165016501650165,0.0,0.0033003300330033004,0.6567656765676567,0.0198019801980198,0.006600660066006601,0.0,0.1617161716171617,0.0231023102310231,0.0,3.6303630363036303,10.475247524752476,0.0099009900990099,0.05697437637875445,0.19557101646020705,0.08005260478533854,0.1222637026981164,0.04759884608857967
1870-Perez Galdoz-La Fontana de Oro-fragment_3.prd,0.007117437722419929,0.017793594306049824,0.0,0.0035587188612099642,0.7651245551601423,0.02491103202846975,0.0,0.0,0.2491103202846975,0.014234875444839857,0.0,3.6263345195729535,10.274021352313166,0.0,0.055404362484260124,0.20216093261302245,0.10045087127828099,0.12433486331695033,0.04650879402087818
1870-Perez Galdoz-La Fontana de Oro-fragment_4.prd,0.024553571428571428,0.015625,0.0,0.0,0.39955357142857145,0.024553571428571428,0.0,0.0,0.09375,0.02008928571428572,0.002232142857142857,2.8571428571428568,7.962053571428571,0.013392857142857142,0.05487402717319615,0.18080288440399245,0.08217913204062789,0.13032581453634084,0.05641296223013675
1876-Perez Galdoz-Doña Perfecta-fragment_1.prd,0.008955223880597015,0.011940298507462687,0.0,0.0,0.4208955223880597,0.01791044776119403,0.0,0.0,0.11940298507462685,0.005970149253731343,0.005970149253731343,3.4656716417910447,10.408955223880596,0.011940298507462687,0.05784309524829685,0.22563091820557865,0.08123741377094135,0.11564334375937273,0.05128754445348987
1876-Perez Galdoz-Doña Perfecta-fragment_2.prd,0.025936599423631124,0.002881844380403458,0.0,0.0,0.4063400576368876,0.01729106628242075,0.005763688760806916,0.0,0.09221902017291066,0.002881844380403458,0.0,3.5878962536023056,10.357348703170027,0.011527377521613832,0.06289524628952463,0.201462680146268,0.08457732845773283,0.1304366530436653,0.059195525919552586
1876-Perez Galdoz-Doña Perfecta-fragment_3.prd,0.02873563218390805,0.005747126436781609,0.0,0.002873563218390805,0.38218390804597707,0.020114942528735632,0.005747126436781609,0.0,0.09770114942528736,0.014367816091954025,0.005747126436781609,3.4568965517241383,9.887931034482758,0.011494252873563218,0.06629570056079642,0.21501543276963875,0.07933747772029735,0.11489805677520325,0.04842846585228014
1876-Perez Galdoz-Doña Perfecta-fragment_4.prd,0.0053619302949061655,0.0026809651474530827,0.0,0.0026809651474530827,0.3565683646112601,0.03485254691689008,0.0026809651474530827,0.0,0.08042895442359249,0.00804289544235925,0.0,3.3592493297587125,9.616621983914207,0.01876675603217158,0.06861835390182798,0.204231233181776,0.07553122390275586,0.13282917323930593,0.05242646376542637
