,anaphora,epiphora,symploce,anadiplosis,diacope,epizeuxis,epanalepsis,chiasmus,polysyndeton,repeating exclamatory sentences,repeating interrogative sentences,assonance,alliteration,aposiopesis,one_word,NOUN,ADJS,VERB,ADVB
1851-Wilkie Collins-Rambles Beyond Railways-fragment.prd,0.016877637130801686,0.014064697609001406,0.0,0.0,1.1603375527426159,0.008438818565400843,0.0,0.0,0.3909985935302391,0.004219409282700422,0.018284106891701832,11.807313642756679,18.28551336146273,0.0,0.02321726716190384,0.20841096619643326,0.0844968180608319,0.12611609843443752,0.1784668618578653
1852-Wilkie Collins-Basil-fragment.prd,0.06077348066298342,0.0066298342541436465,0.0011049723756906078,0.0,1.101657458563536,0.023204419889502764,0.002209944751381216,0.0,0.2541436464088398,0.02541436464088398,0.023204419889502764,10.847513812154697,17.03646408839779,0.0,0.022440879137818084,0.18520469113283408,0.07979550154786831,0.1476833356883197,0.15093321686855324
1853-Charles Kingsley-Hypatia-fragment.prd,0.15092402464065707,0.015400410677618069,0.002053388090349076,0.004106776180698152,1.0410677618069817,0.015400410677618069,0.0,0.0,0.3983572895277208,0.05441478439425052,0.046201232032854214,9.252566735112936,15.162217659137573,0.0,0.02918055894391586,0.1885283673524708,0.07295817408039901,0.13363693041663274,0.1358325878940663
1854-Charles Kingsley-Alexandria and her Schools-fragment.prd,0.0453857791225416,0.004538577912254161,0.0,0.0015128593040847206,2.172465960665658,0.009077155824508321,0.0,0.0,0.8956127080181543,0.0453857791225416,0.0,12.426626323751893,18.736762481089254,0.0,0.019232597945987067,0.17872765310003805,0.0930605743628756,0.11957968809433245,0.14785802586534805
1854-Wilkie Collins-Hide and Seek-fragment.prd,0.04738154613466334,0.016209476309226933,0.0,0.002493765586034913,1.2431421446384041,0.02369077306733167,0.00997506234413965,0.002493765586034913,0.3915211970074813,0.028678304239401493,0.037406483790523685,12.148379052369075,19.036159600997507,0.0,0.022496686198481226,0.19118466855790792,0.08427585694287873,0.1345093715545755,0.15974381526950188
1855-Charles Kingsley-Westward Ho!-fragment.prd,0.15577889447236182,0.023450586264656608,0.0033500837520938024,0.0,2.5376884422110555,0.02512562814070352,0.0033500837520938024,0.0,0.9765494137353434,0.021775544388609715,0.035175879396984924,12.080402010050252,18.571189279732,0.0,0.025485675039246463,0.17567700156985872,0.07508339874411303,0.12122252747252747,0.13938628335949765
1856-Charles Kingsley-Glaucus or The Wonders of the Shore-fragment.prd,0.034188034188034185,0.010256410256410256,0.0,0.0,2.948717948717949,0.015384615384615384,0.0017094017094017096,0.0,1.0461538461538462,0.05128205128205128,0.0017094017094017096,13.135042735042735,19.58974358974359,0.0,0.022483344575005625,0.19591276462304896,0.09697421515377423,0.10381388524027596,0.16019974676654006
2013-Zadie Smith-The_Embassy_of_Cambodia-fragment.prd,0.035343035343035345,0.027027027027027032,0.0062370062370062365,0.0,0.33264033264033266,0.018711018711018712,0.002079002079002079,0.002079002079002079,0.0893970893970894,0.002079002079002079,0.002079002079002079,5.604989604989605,10.494802494802494,0.0,0.03955703413389236,0.1705783165474183,0.06507770131704872,0.14943262088137446,0.1370824408695256
1887-Andrew Lang-He-fragment.prd,0.09977324263038548,0.020408163265306117,0.00453514739229025,0.002267573696145125,0.8412698412698413,0.020408163265306117,0.002267573696145125,0.00453514739229025,0.19954648526077096,0.015873015873015872,0.015873015873015872,9.478458049886619,15.691609977324266,0.0,0.04393351800554016,0.1812742382271468,0.07224376731301939,0.14509695290858726,0.13443213296398893
1864-George Eliot-Brother Jacob-fragment.prd,0.044834307992202733,0.007797270955165694,0.0,0.0,1.341130604288499,0.025341130604288498,0.003898635477582847,0.0,0.4619883040935672,0.009746588693957114,0.0019493177387914235,11.656920077972707,18.288499025341128,0.0,0.025682837342030168,0.17422786481082445,0.08116397802496457,0.15722244870226934,0.14439073631898744
1860-George Eliot-Tom and Maggie Tulliver-fragment.prd,0.10683760683760683,0.009971509971509971,0.0028490028490028487,0.0014245014245014244,0.9829059829059827,0.04415954415954417,0.0,0.0,0.20655270655270647,0.0,0.0056980056980056966,8.126780626780628,14.051282051282053,0.0,0.02822227444612985,0.13395432307133548,0.06099515029803235,0.17226055931805073,0.12011023992137927
1874-Henry James-Eugene Pickering-fragment.prd,0.03632236095346197,0.009080590238365494,0.002270147559591373,0.0011350737797956867,0.21566401816118047,0.009080590238365494,0.0011350737797956867,0.0,0.07832009080590238,0.002270147559591373,0.00340522133938706,7.022701475595912,11.852440408626563,0.0,0.03257510815175136,0.15733338649548453,0.07489882578098522,0.16449034110165267,0.13522457686250275
1856-Wilkie Collins-A Rogue's Life-fragment.prd,0.04120603015075377,0.02010050251256281,0.004020100502512563,0.0,0.4954773869346734,0.008040201005025126,0.0,0.0010050251256281408,0.16080402010050251,0.019095477386934675,0.02311557788944724,9.521608040201006,15.246231155778894,0.0,0.025369788177086017,0.1915425449672731,0.08021955367726641,0.1427485440395815,0.15328815131680668
1857-Anthony Trollope-Barchester Towers-fragment.prd,0.06605922551252848,0.018223234624145785,0.0,0.007972665148063782,1.4043280182232347,0.014806378132118454,0.002277904328018223,0.0,0.3701594533029613,0.007972665148063782,0.013667425968109341,12.743735763097947,20.20728929384966,0.0,0.021167693241953674,0.17485654798051778,0.07708609599821536,0.14819863921972015,0.14279517654203175
